Tweet,label
cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,negative
rt telat tau edan sarap gue gaul cigax jifla cal licew,negative
kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,positive
tau mata sipit lihat,positive
kaum cebong kafir lihat dongok dungu haha,negative
ya bani taplak kawan kawan,negative
deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon,positive
gue selesai re watch aldnoah zero kampret karakter utama cowok kena friendzone bro xd,negative
admin belanja port nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertua taipan kembar baby amp romantika bank islam senawang,positive
enak ngewe,negative
gue jari gue ukur nyali bacot,negative
banci kaleng malu nyungsep koe,negative
ajar ekonomi mesti jago privatisasi hati orang aduh ironi,positive
aktor huru hara prabowo si lengser perintah jokowi nyata,negative
bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,negative
lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,negative
pikir ampas banget ya,positive
ari bek rapi monyet,negative
cowok gantle gantle nama banci,negative
alga mnr bom,positive
anjing ya gue jarang ambek takut wkwk gue budak cinta,negative
noob peluang sakit nya gede sih,positive
joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,positive
ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah damai,positive
bandara udara internasional kertajati bangun gubernur ahmad heryawan anggar belanja negara perintah pusat insya allah operasi,positive
gubernur presiden rakyat ya,positive
sih kerja delay mulu setan,negative
pintu sorga pintu sorga asli pintu hati modus banget,positive
rt partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,negative
nenek nenek heran cebong bohong,negative
islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kah hasyim muzadi,negative
habis sahur jam si bayi nete kali lemas,positive
kak emak suka sipit wkwk,positive
rt laku homo jaman now ngentot live blued gay video gvid lokal hangat,negative
kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,positive
pegawai guardian training kayak mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,negative
bajing luka lady terima ganjar ratus kali lipat sanji hbdthpelautjkt,negative
aja tolak berita hoaks sukses pilih kepala daerah wilayah kota,positive
presiden ri jokowi kerja nya tulus ikhlas rakyatbrsamajkw,positive
edan tuju fabiano,negative
