Tweet,label
Selamat Ultah utk Boss saya [USERNAME]. Wartawan hebat yang sangat membanggakan dan saya kagumi. Wish you all the best Pak Ketua!!!,P
Aku dulu nemu ig nya dia. Pas dia lg liat camera gitu serem dah. Itu gatau pake softlens atau gimana tapi matanya tuh jd gede bgt,N
"Buka puasa makan mujigae porsi berat alias segambreng, balik dari mujigae makan ayam geprek+nasi, & barusan aja makan mie rebus. Woiii semenjak puasa porsi makanqu tidaq terkontrol dengan baiq",P
"Pacar yg baik adalah pacar yg nasehatin kamu gak pernah ngebentak, tp dgn lemah lembut & kasih sayang sambil tersenyum & menatap mata kamu",P
Min [USERNAME] [USERNAME] mau nanya dong di jl. A.wahab syarani batu ampar balikpapan utara kok mati listrik yaaa. Padahal di jadwal pemeliharaan masih besok lho.,P
Nah itu yg sy gak ngerti. Tp sy bayangkan mungkin sulit jg melototi APBD dari gub lama oleh gub baru secara rinci... **untung sy bukan gubernurnya baik lama maupun yg baru. [URL],N
Anjir. Ini anak macam apa? Eike aja ngidam ayam WOW tinggal gofood ga nitip2 kesiapapun.. 19 tahun mah ngerti keles teknologi kek gmn.. ini antara dimanjain ga ketulungan atau ga cari perhatian ortu tapi caranya bocah bgt,N
diluar sana nona-nona lagi sibuk menyeleksi calon pendamping hidupnya dan lo masi berharap sama yang ga pasti?? goblo ko sampe ke DNA si? yagimanayak~,N
liat vlive kemaren2 do megang hp jae terus hari ini jae megang hp do serem ga kalo screennya locked terus mereka bisa buka lock hp satu sama lain pake fingerprint?!!!!!!!!!!!!!!! serem lah,P
"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",P
"Setiap hubungan pastilah mempunyiai tujuan, dalam hubungan cinta sepasang kekasih pastilah satu tujuan ke masa depan yaitu menikah. Keseriusan cinta terbukti ketika sampai ke pelaminan.",P
"[USERNAME] [USERNAME] musuh dlm selimut.Hati2.Penghianat.Sampai dunia kiamat,tetap penghianat.Jahat. [USERNAME] [USERNAME] [USERNAME] [URL]",N
Too much camera too look.. hahaha.. Btw #happy3thanniversary sayang.. 3 tahun yg sgt mencabar n smoga kta sentiasa dirahmati Allah swt slalu.. Love u,N
"Mengerikan tapi lucu, dilarang justru dicari dan amat laku, dianjurkan, disuruh tetapi malah diboikot, kalah tetapi justru menjadi amat populer dan menjadi pahlawan khalayak ramai, berjaya tetapi keok celaka,..",N
"Kak [USERNAME] lagi belajar buat ujian apa udh istirahat? Ga niat muncul bilang makasih sketsa hari ini lucu gitu?? Atau apalah.. jgn pelit2 muncul ka.. haha.. kalau lagi belajar semangat ya, siapin cemilan jgn begadang dek :)",P
[USERNAME] Ohh begitu . Takut ada masalah soalnya.. takut didenda yg dikarenakan rasa ketidak tauan..hahahaha...satu lagi.. untuk pph cabang tetap dilapor dgn NPWP cabang ya.. kan hanya PPN yg dipusatkan.. benar kan ya pph nya tetap lapor dgn NPWP cab,P
"Tau aja urang paling lemah kalo berhadapan sama si nadia sayang banget akutu ga bisa nolak maunya bocah satu itu, nad im gonna miss you so badly",P
"[USERNAME] aku beneran nangis tadi pas pulang flo :"" untung ga sefakultas jadi tempat keluarnya beda, terus aku pake kacamata biar dia gakenal gt :""( beneran takut",P
"gua berasa stalker abis, nyari tau kenapa dia bisa se pendiem itu, nyari tau mantannya, nyari tau latar belakangnya, ngikutin dia sampe rumahnya, kenalan samaa nyokapnya, bikinin bekel, beliin oreo, beliin susu, i serach and give all he cintad. emang gua seagresif itu dulu.",P
